NO,SMILES,y_true,temp,elem,mol,SMILES_Kmeans,Bemis_Murcko
228,*n1c(=O)c2ccc3c(=O)n(-c4ccc(Oc5ccc(C(c6ccc(Oc7ccc(*)cc7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc4)c(=O)c3c2c1=O,272.0,-0.39903107,-0.13871926,-0.39938566,-0.43962497,-0.43354663
74,*c1ccc(Oc2ccc(C34CC5CC6C3CC3CC4C(C5)C6(c4ccc(Oc5ccc(N6C(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(*)C9=O)cc7C6=O)cc5)cc4)C3)cc2)cc1,360.0,0.91701186,1.0788532,0.75168484,0.9194317,0.974655
475,*N1C(=O)C2CC3C(=O)N(c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc4)C(=O)C3CC2C1=O,256.6,-0.81719625,-0.76606554,-0.64035124,-0.58700275,-0.6350859
613,*N1C(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc6c(c5)C(=O)N(c5cc(*)c(C)cc5C)C6=O)cc4)cc3)cc2C1=O,265.0,-0.6485064,-0.74629253,-0.78609234,-0.46704495,-0.569735
623,*N1C(=O)C2C(C1=O)C1C(=O)N(c3ccc(Oc4ccc(-c5nc(-c6ccccc6)[nH]c5-c5ccc(Oc6ccc(*)cc6C(F)(F)F)cc5)cc4)c(C(F)(F)F)c3)C(=O)C21,301.4732836,-0.100273766,-0.15771288,-0.27059466,-0.19897081,-0.08235951
375,*c1cc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc(C(F)(F)F)c1,294.0,-0.21200578,-0.27125582,-0.14817014,-0.25322795,-0.20860286
56,*N1C(=O)c2ccc(P(=O)(c3ccccc3)c3ccc4c(c3)C(=O)N(c3ccc(*)cc3)C4=O)cc2C1=O,366.0,0.6042595,0.8623754,0.67545104,0.8462316,0.90758234
634,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(Sc5ccc(*)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,243.0,-1.0195506,-1.1897763,-0.9740843,-0.9514061,-0.9821462
421,*c1cc(Oc2c(C)cc(-c3cc(C)c(Oc4cc(N5C(=O)c6ccc(Oc7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6C5=O)cc(C(F)(F)F)c4)c(C)c3)cc2C)cc(C(F)(F)F)c1,222.0,-1.5662158,-1.4355452,-1.5165343,-1.384659,-1.2364093
546,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(C5(c6ccc(*)cc6)c6ccccc6-c6ccccc65)cc3)C4=O)cc2C1=O,265.13,-0.5909552,-0.5225235,-0.46609244,-0.529734,-0.4027675
512,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(-c5nc6ccc(*)cc6nc5-c5ccccc5)cc3)C4=O)cc2C1=O,375.0,1.0770872,1.0441589,0.9696856,1.0376443,0.9958942
741,*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(c5c(F)c(F)c(F)c(F)c5F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,250.0,-0.956927,-1.0242367,-0.8030975,0.3777872,-0.8098784
5,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(*)cc3)C4=O)cc2C1=O,360.0,0.98316306,0.69205314,0.88551664,0.59746283,0.7285427
514,*c1ccc2nc(-c3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cnc2c1,413.0,1.727508,1.765276,1.6814232,1.6186836,1.5872177
756,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc5oc(-c6nc7cc(*)ccc7o6)nc5c3)C4=O)cc2C1=O,382.0,1.0905794,1.22515,1.3018196,1.4040575,1.2939866
